asset_name,asset_code,exclude_from_capacity_layers,network,network_element,use_5yr_forecast,voltage_highside,voltage_lowside,investment_description,reliability_criteria,latitude,longitude,latitude_end,longitude_end,res_cust_affected_no,res_cust_affected_percent,primary_driver,augmentation_invest,replacement_invest,connections_invest,other_invest,total_invest,cost_accuracy_plus,cost_accuracy_minus,annual_deferral,deferrable_invest,opex,project_timing,commitment_timing,summer_critical,winter_critical,spring_critical,autumn_critical,summer_nameplate_cap_mva,summer_secure_cap_mva,summer_acc_cap_yr_minus2_mva,summer_acc_cap_yr_minus1_mva,summer_acc_cap_yr0_mva,summer_acc_cap_yr1_mva,summer_acc_cap_yr2_mva,summer_acc_cap_yr3_mva,summer_acc_cap_yr4_mva,summer_acc_cap_yr5_mva,summer_acc_cap_yr6_mva,summer_acc_cap_yr7_mva,summer_acc_cap_yr8_mva,summer_acc_cap_yr9_mva,summer_acc_cap_yr10_mva,summer_load_yr1_poe50_mva,summer_load_yr2_poe50_mva,summer_load_yr3_poe50_mva,summer_load_yr4_poe50_mva,summer_load_yr5_poe50_mva,summer_load_yr6_poe50_mva,summer_load_yr7_poe50_mva,summer_load_yr8_poe50_mva,summer_load_yr9_poe50_mva,summer_load_yr10_poe50_mva,summer_load_yr1_poe10_mva,summer_load_yr2_poe10_mva,summer_load_yr3_poe10_mva,summer_load_yr4_poe10_mva,summer_load_yr5_poe10_mva,summer_load_yr6_poe10_mva,summer_load_yr7_poe10_mva,summer_load_yr8_poe10_mva,summer_load_yr9_poe10_mva,summer_load_yr10_poe10_mva,winter_nameplate_cap_mva,winter_secure_cap_mva,winter_acc_cap_yr_minus2_mva,winter_acc_cap_yr_minus1_mva,winter_acc_cap_yr0_mva,winter_acc_cap_yr1_mva,winter_acc_cap_yr2_mva,winter_acc_cap_yr3_mva,winter_acc_cap_yr4_mva,winter_acc_cap_yr5_mva,winter_acc_cap_yr6_mva,winter_acc_cap_yr7_mva,winter_acc_cap_yr8_mva,winter_acc_cap_yr9_mva,winter_acc_cap_yr10_mva,winter_load_yr1_poe50_mva,winter_load_yr2_poe50_mva,winter_load_yr3_poe50_mva,winter_load_yr4_poe50_mva,winter_load_yr5_poe50_mva,winter_load_yr6_poe50_mva,winter_load_yr7_poe50_mva,winter_load_yr8_poe50_mva,winter_load_yr9_poe50_mva,winter_load_yr10_poe50_mva,winter_load_yr1_poe10_mva,winter_load_yr2_poe10_mva,winter_load_yr3_poe10_mva,winter_load_yr4_poe10_mva,winter_load_yr5_poe10_mva,winter_load_yr6_poe10_mva,winter_load_yr7_poe10_mva,winter_load_yr8_poe10_mva,winter_load_yr9_poe10_mva,winter_load_yr10_poe10_mva,mapped_poe,load_at_risk_yr1_mw,load_at_risk_yr2_mw,load_at_risk_yr3_mw,load_at_risk_yr4_mw,load_at_risk_yr5_mw,EUSE_MWh_yr1,EUSE_MWh_yr2,EUSE_MWh_yr3,EUSE_MWh_yr4,EUSE_MWh_yr5,EUSE_MWh_yr6,EUSE_MWh_yr7,EUSE_MWh_yr8,EUSE_MWh_yr9,EUSE_MWh_yr10,hrs_exceedance_yr1,hrs_exceedance_yr2,hrs_exceedance_yr3,hrs_exceedance_yr4,hrs_exceedance_yr5,hrs_exceedance_yr6,hrs_exceedance_yr7,hrs_exceedance_yr8,hrs_exceedance_yr9,hrs_exceedance_yr10,EUSE_value_yr1,EUSE_value_yr2,EUSE_value_yr3,EUSE_value_yr4,EUSE_value_yr5,EUSE_value_yr6,EUSE_value_yr7,EUSE_value_yr8,EUSE_value_yr9,EUSE_value_yr10,summer_support_constraintyr_mw,summer_support_constraintyr_mva,summer_support_yr1_mva,summer_support_yr2_mva,summer_support_yr3_mva,summer_support_yr4_mva,summer_support_yr5_mva,summer_support_yr6_mva,summer_support_yr7_mva,summer_support_yr8_mva,summer_support_yr9_mva,summer_support_yr10_mva,winter_support_constraintyr_mw,winter_support_constraintyr_mva,winter_support_yr1_mva,winter_support_yr2_mva,winter_support_yr3_mva,winter_support_yr4_mva,winter_support_yr5_mva,winter_support_yr6_mva,winter_support_yr7_mva,winter_support_yr8_mva,winter_support_yr9_mva,winter_support_yr10_mva,Summer_min_demand_yr1_mva,Summer_min_demand_yr2_mva,Summer_min_demand_yr3_mva,Summer_min_demand_yr4_mva,Summer_min_demand_yr5_mva,Summer_min_demand_yr6_mva,Summer_min_demand_yr7_mva,Summer_min_demand_yr8_mva,Summer_min_demand_yr9_mva,Summer_min_demand_yr10_mva,Winter_min_demand_yr1_mva,Winter_min_demand_yr2_mva,Winter_min_demand_yr3_mva,Winter_min_demand_yr4_mva,Winter_min_demand_yr5_mva,Winter_min_demand_yr6_mva,Winter_min_demand_yr7_mva,Winter_min_demand_yr8_mva,Winter_min_demand_yr9_mva,Winter_min_demand_yr10_mva,power_factor,reactive_support_details,load_transfer_capability_mva,emergency_generation_mva,emergency_generation_mw,historic_emergency_generation_flag,connected_region1,connected_region1_EF,connected_region2,connected_region2_EF,connected_region3,connected_region3_EF,connected_region4,connected_region4_EF,connected_region5,connected_region5_EF,connected_region6,connected_region6_EF,connected_region7,connected_region7_EF,connected_region8,connected_region8_EF,connected_region9,connected_region9_EF,connected_region10,connected_region10_EF,connected_region11,connected_region11_EF,connected_region12,connected_region12_EF,connected_region13,connected_region13_EF,connected_region14,connected_region14_EF,connected_region15,connected_region15_EF,connected_region16,connected_region16_EF,connected_region17,connected_region17_EF,connected_region18,connected_region18_EF,connected_region19,connected_region19_EF,connected_region20,connected_region20_EF,connected_region21,connected_region21_EF,connected_region22,connected_region22_EF,connected_region23,connected_region23_EF,connected_region24,connected_region24_EF,connected_region25,connected_region25_EF,connected_region26,connected_region26_EF,connected_region27,connected_region27_EF,connected_region28,connected_region28_EF,connected_region29,connected_region29_EF,connected_region30,connected_region30_EF,ADV_total_2023,ADV_total_2024,ADV_total_2025,ADV_total_2026,ADV_total_2027,ADV_total_2028,ADV_total_2029,ADV_total_2030,ADV_total_2031,ADV_total_2032,WACC,Depreciation_rate
HAZELWOOD - YALLOURN 220 KV,Hazelwood - Yallourn 220 kV,,AEMO,TL,,220,,"Construct a new single or double circuit line with one or two circuits strung, or rebuild existing double circuit line at a higher rating. Installation of BESS on the 220 kV network east of this constraint. Project timing is indicative only - this will be updated as more information becomes available.",,-38.273,146.392,-38.177,146.344,,,market benefit,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
HAZELWOOD - LOY YANG 500 KV,Hazelwood - Loy Yang 500 kV,,AEMO,TL,,500,,Construct a new single or double circuit Hazelwood-Loy Yang 500kV line with one or two circuits strung. Project timing is indicative only - this will be updated as more information becomes available.,,-38.256,146.573,-38.273,146.392,,,market benefit,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
DEDERANG - MOUNT BEAUTY 220 KV,Dederang - Mount Beauty 220 kV,,AEMO,TL,,220,,Install a wind monitoring scheme and up-rate the conductor temperature of both 220 kV circuits between Dederang and Mount Beauty to 82Â§C. Project timing is indicative only - this will be updated as more information becomes available.,,-36.743,147.165,-36.454,146.992,,,capacity,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
RED CLIFFS - WEMEN 220 KV,Red Cliffs - Wemen 220 kV,,AEMO,TL,,220,,Install an automatic load shedding control scheme to enable the use of five minute line rating. Replace the existing Bendigo - Kerang - Wemen - Red Cliffs 220 kV line with a new double circuit 220 kV line and provide associated terminal station aumentation. Project timing is indicative only - this will be updated as more information becomes available.,,-34.275,142.2,-34.791,142.522,,,capacity,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
WEMEN - KERANG 220 KV,Wemen - Kerang 220 kV,,AEMO,TL,,220,,See Red Cliffs - Wemen 220 kV investment. Project timing is indicative only - this will be updated as more information becomes available.,,-34.791,142.522,-35.782,143.945,,,capacity,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
KERANG - BENDIGO 220 KV,Kerang - Bendigo 220 kV,,AEMO,TL,,220,,See Red Cliffs - Wemen 220 kV investment. Project timing is indicative only - this will be updated as more information becomes available.,,-35.782,143.945,-36.796,144.252,,,capacity,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
RINGWOOD - THOMASTOWN 220 KV,Ringwood - Thomastown 220 kV,,AEMO,TL,,220,,"Cut in Rowville - Ringwood - Thomastown 220 kV at Templestowe and Rowville - Templestowe - Thomastown 220 kV at Ringwood to form the Rowville - Ringwood - Templestowe - Thomastown No. 1 and No. 2 circuits plus any fault level mitigation work. New (third) 500/220 kV transformer at Rowville, plus any fault level mitigation works.",,-37.821,145.216,-37.693,145.01,,,capacity,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
TEMPLESTOWE - THOMASTOWN 220 KV,Templestowe - Thomastown 220 kV,,AEMO,TL,,220,,See Ringwood - Thomastown 220 kV investment. Project timing is indicative only - this will be updated as more information becomes available.,,-37.749,145.171,-37.693,145.01,,,capacity,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
ROWVILLE - MALVERN 220 KV ,Rowville - Malvern 220 kV ,,AEMO,TL,,220,,Cut-in Rowville - Richmond 220 kV No.1 and No.4 circuits at Malvern Terminal Station to form the Rowville - Malvern - Richmond No.3 and No.4 circuits. Project timing is indicative only - this will be updated as more information becomes available.,,-37.878,145.084,-37.928,145.226,,,capacity,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
ROWVILLE - SPRINGVALE 220 KV,Rowville - Springvale 220 kV,,AEMO,TL,,220,,Connect a third Rowville - Springvale circuit (underground cable). Connect a Cranbourne - Heatherton 220 kV double circuit overhead line. Project timing is indicative only - this will be updated as more information becomes available.,,-37.928,145.146,-37.928,145.226,,,capacity,TBC,,,,TBC,,,,TBC,,Jun-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.033
