Site Address,latitude,longitude,Applicant,Charging_bays,Charger_capacities,ObjId,Postcodes,ZoneType,Round,Zone (km)
"59 Tudor St, Hamilton NSW 2303, Australia",-32.9248179,151.7518848,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,1,2303,Metro,1,5
"M1 North Bound Freeway, Wyong NSW, 2259",-33.2788484,151.4055382,Ampol Australia Energy Pty Ltd,10,One 335kW charger will service every two bays at this station.,2,2259,Metro,1,5
"12 Bay Village Rd, Bateau Bay NSW 2261, Australia",-33.3761478,151.4736688,Ampol Australia Energy Pty Ltd,10,One 335kW charger will service every two bays at this station.,3,2261,Metro,1,5
"M4 MotorwayWestbound,EasternCreek, New South Wales, 2766",-33.7966292,150.8487996,Ampol Australia Energy Pty Ltd,10,One 335kW charger will service every two bays at this station.,4,2766,Metro,1,5
"1 Rockdale Plaza Dr, Rockdale NSW 2216, Australia",-33.9578641,151.1399945,Ampol Australia Energy Pty Ltd,8,One 335kW charger will service every two bays at this station.,5,2216,Metro,1,5
"271 Queen St, Campbelltown NSW 2560, Australia",-34.0682928,150.8098231,Ampol Australia Energy Pty Ltd,10,One 335kW charger will service every two bays at this station.,6,2560,Metro,1,5
"Cnr Pacific Highway & Stadium Road, Coffs Harbour, 2450)",-30.32100419,153.0869707,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,7,2450,Regional,1,100
"177 Macquarie St, Dubbo NSW 2830, Australia",-32.2502378,148.5999219,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,8,2830,Regional,1,100
"1403 Princes Hwy, Heathcote NSW 2233, Australia",-34.0904416,151.0039066,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,9,2233,Metro,1,5
"36 Parkes Rd, Forbes NSW 2871, Australia",-33.3706092,148.0180315,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,10,2871,Regional,1,100
"217 Auburn St, Goulburn NSW 2580, Australia",-34.752476,149.7211451,Ampol Australia Energy Pty Ltd,6,One 335kW charger will service every two bays at this station.,11,2580,Regional,1,100
"Albury St, Holbrook NSW 2644, Australia",-35.7231693,147.3143159,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,12,2644,Regional,1,100
"2 Alison Rd, Randwick NSW 2031, Australia",-33.9066063,151.2320332,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,13,2031,Metro,1,5
"737 Anzac Pde, Maroubra NSW 2035, Australia",-33.9401323,151.2376921,Ampol Australia Energy Pty Ltd,8,One 335kW charger will service every two bays at this station.,14,2035,Metro,1,5
"227 Summer St, Orange NSW 2800, Australia",-33.2828439,149.1002549,Ampol Australia Energy Pty Ltd,6,One 335kW charger will service every two bays at this station.,15,2800,Regional,1,100
"12 Hume Hwy, Pheasants Nest NSW 2574, Australia",-33.9164121,150.9204251,Ampol Australia Energy Pty Ltd,6,One 335kW charger will service every two bays at this station.,16,2574,Metro,1,5
"Hume Hwy, Pheasants Nest NSW 2574, Australia",-34.28248981,150.6370642,Ampol Australia Energy Pty Ltd,6,One 335kW charger will service every two bays at this station.,17,2574,Regional,1,100
"1285-1289 Canterbury Rd, Punchbowl NSW 2196, Australia",-33.9314597,151.0596341,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,18,2196,Metro,1,5
"56 John St, Singleton NSW 2330, Australia",-32.5676452,151.1638101,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,19,2330,Regional,1,100
"422 Pacific Hwy, Artarmon NSW 2064, Australia",-33.8114056,151.175596,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,20,2064,Metro,1,5
"214 Sydney Rd, Kelso NSW 2795, Australia",-33.4191636,149.6076819,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,21,2795,Regional,1,100
