Postcode,Total Registrations (2017-2021),Registrations 2017,Registrations 2018,Registrations 2019,Registrations 2020,Registrations 2021
1001,0,0,0,0,0,0
1002,0,0,0,0,0,0
1003,0,0,0,0,0,0
1004,0,0,0,0,0,0
1005,0,0,0,0,0,0
1006,0,0,0,0,0,0
1007,0,0,0,0,0,0
1008,0,0,0,0,0,0
1009,0,0,0,0,0,0
1010,0,0,0,0,0,0
1020,0,0,0,0,0,0
1021,0,0,0,0,0,0
1022,0,0,0,0,0,0
1023,0,0,0,0,0,0
1025,0,0,0,0,0,0
1026,0,0,0,0,0,0
1027,0,0,0,0,0,0
1028,0,0,0,0,0,0
1029,0,0,0,0,0,0
1030,0,0,0,0,0,0
1031,0,0,0,0,0,0
1032,0,0,0,0,0,0
1033,0,0,0,0,0,0
1034,0,0,0,0,0,0
1035,0,0,0,0,0,0
1036,0,0,0,0,0,0
1037,0,0,0,0,0,0
1038,0,0,0,0,0,0
1039,0,0,0,0,0,0
1040,0,0,0,0,0,0
1041,0,0,0,0,0,0
1042,0,0,0,0,0,0
1043,0,0,0,0,0,0
1044,0,0,0,0,0,0
1045,0,0,0,0,0,0
1046,0,0,0,0,0,0
1100,0,0,0,0,0,0
1101,0,0,0,0,0,0
1105,0,0,0,0,0,0
1106,0,0,0,0,0,0
1107,0,0,0,0,0,0
1108,0,0,0,0,0,0
1109,0,0,0,0,0,0
1110,0,0,0,0,0,0
1112,0,0,0,0,0,0
1113,0,0,0,0,0,0
1114,0,0,0,0,0,0
1115,0,0,0,0,0,0
1116,0,0,0,0,0,0
1117,0,0,0,0,0,0
1118,0,0,0,0,0,0
1119,0,0,0,0,0,0
1120,0,0,0,0,0,0
1121,0,0,0,0,0,0
1122,0,0,0,0,0,0
1123,0,0,0,0,0,0
1124,0,0,0,0,0,0
1125,0,0,0,0,0,0
1126,0,0,0,0,0,0
1127,0,0,0,0,0,0
1128,0,0,0,0,0,0
1129,0,0,0,0,0,0
1130,0,0,0,0,0,0
1131,0,0,0,0,0,0
1132,0,0,0,0,0,0
1133,0,0,0,0,0,0
1134,0,0,0,0,0,0
1135,0,0,0,0,0,0
1136,0,0,0,0,0,0
1137,0,0,0,0,0,0
1138,0,0,0,0,0,0
1139,0,0,0,0,0,0
1140,0,0,0,0,0,0
1141,0,0,0,0,0,0
1142,0,0,0,0,0,0
1143,0,0,0,0,0,0
1144,0,0,0,0,0,0
1145,0,0,0,0,0,0
1146,0,0,0,0,0,0
1147,0,0,0,0,0,0
1148,0,0,0,0,0,0
1149,0,0,0,0,0,0
1150,0,0,0,0,0,0
1151,0,0,0,0,0,0
1152,0,0,0,0,0,0
1153,0,0,0,0,0,0
1154,0,0,0,0,0,0
1155,0,0,0,0,0,0
1156,0,0,0,0,0,0
1157,0,0,0,0,0,0
1158,0,0,0,0,0,0
1159,0,0,0,0,0,0
1160,0,0,0,0,0,0
1161,0,0,0,0,0,0
1162,0,0,0,0,0,0
1163,0,0,0,0,0,0
1164,0,0,0,0,0,0
1165,0,0,0,0,0,0
1166,0,0,0,0,0,0
1167,0,0,0,0,0,0
1168,0,0,0,0,0,0
1169,0,0,0,0,0,0
1170,0,0,0,0,0,0
1171,0,0,0,0,0,0
1172,0,0,0,0,0,0
1173,0,0,0,0,0,0
1174,0,0,0,0,0,0
1175,0,0,0,0,0,0
1176,0,0,0,0,0,0
1177,0,0,0,0,0,0
1178,0,0,0,0,0,0
1179,0,0,0,0,0,0
1180,0,0,0,0,0,0
1181,0,0,0,0,0,0
1182,0,0,0,0,0,0
1183,0,0,0,0,0,0
1184,0,0,0,0,0,0
1185,0,0,0,0,0,0
1186,0,0,0,0,0,0
1187,0,0,0,0,0,0
1188,0,0,0,0,0,0
1189,0,0,0,0,0,0
1190,0,0,0,0,0,0
1191,0,0,0,0,0,0
1192,0,0,0,0,0,0
1193,0,0,0,0,0,0
1194,0,0,0,0,0,0
1195,0,0,0,0,0,0
1196,0,0,0,0,0,0
1197,0,0,0,0,0,0
1198,0,0,0,0,0,0
1199,0,0,0,0,0,0
1201,0,0,0,0,0,0
1202,0,0,0,0,0,0
1203,0,0,0,0,0,0
1205,0,0,0,0,0,0
1207,0,0,0,0,0,0
1208,0,0,0,0,0,0
1209,0,0,0,0,0,0
1210,0,0,0,0,0,0
1211,0,0,0,0,0,0
1212,0,0,0,0,0,0
1213,0,0,0,0,0,0
1214,0,0,0,0,0,0
1215,0,0,0,0,0,0
1216,0,0,0,0,0,0
1217,0,0,0,0,0,0
1218,0,0,0,0,0,0
1219,0,0,0,0,0,0
1220,0,0,0,0,0,0
1221,0,0,0,0,0,0
1222,0,0,0,0,0,0
1223,0,0,0,0,0,0
1224,0,0,0,0,0,0
1225,0,0,0,0,0,0
1226,0,0,0,0,0,0
1227,0,0,0,0,0,0
1228,0,0,0,0,0,0
1229,0,0,0,0,0,0
1230,0,0,0,0,0,0
1231,0,0,0,0,0,0
1232,0,0,0,0,0,0
1233,0,0,0,0,0,0
1234,0,0,0,0,0,0
1235,0,0,0,0,0,0
1236,0,0,0,0,0,0
1237,0,0,0,0,0,0
1238,0,0,0,0,0,0
1239,0,0,0,0,0,0
1240,0,0,0,0,0,0
1291,0,0,0,0,0,0
1292,0,0,0,0,0,0
1293,0,0,0,0,0,0
1294,0,0,0,0,0,0
1295,0,0,0,0,0,0
1296,0,0,0,0,0,0
1297,0,0,0,0,0,0
1298,0,0,0,0,0,0
1299,0,0,0,0,0,0
1300,0,0,0,0,0,0
1314,0,0,0,0,0,0
1335,0,0,0,0,0,0
1340,0,0,0,0,0,0
1350,0,0,0,0,0,0
1355,0,0,0,0,0,0
1360,0,0,0,0,0,0
1401,0,0,0,0,0,0
1419,0,0,0,0,0,0
1420,0,0,0,0,0,0
1422,0,0,0,0,0,0
1423,0,0,0,0,0,0
1424,0,0,0,0,0,0
1425,0,0,0,0,0,0
1426,0,0,0,0,0,0
1427,0,0,0,0,0,0
1428,0,0,0,0,0,0
1429,0,0,0,0,0,0
1430,0,0,0,0,0,0
1435,0,0,0,0,0,0
1440,0,0,0,0,0,0
1441,0,0,0,0,0,0
1445,0,0,0,0,0,0
1450,0,0,0,0,0,0
1455,0,0,0,0,0,0
1460,0,0,0,0,0,0
1465,0,0,0,0,0,0
1466,0,0,0,0,0,0
1470,0,0,0,0,0,0
1475,0,0,0,0,0,0
1476,0,0,0,0,0,0
1480,0,0,0,0,0,0
1481,0,0,0,0,0,0
1484,0,0,0,0,0,0
1485,0,0,0,0,0,0
1490,0,0,0,0,0,0
1493,0,0,0,0,0,0
1495,0,0,0,0,0,0
1499,0,0,0,0,0,0
1515,0,0,0,0,0,0
1560,0,0,0,0,0,0
1565,0,0,0,0,0,0
1570,0,0,0,0,0,0
1585,0,0,0,0,0,0
1590,0,0,0,0,0,0
1595,0,0,0,0,0,0
1597,0,0,0,0,0,0
1602,0,0,0,0,0,0
1630,0,0,0,0,0,0
1635,0,0,0,0,0,0
1639,0,0,0,0,0,0
1640,0,0,0,0,0,0
1655,0,0,0,0,0,0
1658,0,0,0,0,0,0
1660,0,0,0,0,0,0
1670,0,0,0,0,0,0
1675,0,0,0,0,0,0
1680,0,0,0,0,0,0
1685,0,0,0,0,0,0
1700,0,0,0,0,0,0
1710,0,0,0,0,0,0
1715,0,0,0,0,0,0
1730,0,0,0,0,0,0
1740,0,0,0,0,0,0
1741,0,0,0,0,0,0
1750,0,0,0,0,0,0
1755,0,0,0,0,0,0
1765,0,0,0,0,0,0
1771,0,0,0,0,0,0
1781,0,0,0,0,0,0
1790,0,0,0,0,0,0
1800,0,0,0,0,0,0
1805,0,0,0,0,0,0
1811,0,0,0,0,0,0
1819,0,0,0,0,0,0
1825,0,0,0,0,0,0
1830,0,0,0,0,0,0
1831,0,0,0,0,0,0
1835,0,0,0,0,0,0
1851,0,0,0,0,0,0
1860,0,0,0,0,0,0
1871,0,0,0,0,0,0
1875,0,0,0,0,0,0
1885,0,0,0,0,0,0
1888,0,0,0,0,0,0
1890,0,0,0,0,0,0
1891,0,0,0,0,0,0
2000,399,41,53,75,81,149
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2004,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,27,3,3,3,7,11
2008,43,3,4,9,13,14
2009,98,8,11,22,27,30
2010,151,7,10,28,42,64
2011,164,8,14,21,55,66
2012,0,0,0,0,0,0
2013,0,0,0,0,0,0
2015,183,5,9,17,60,92
2016,93,8,10,19,27,29
2017,209,7,9,37,73,83
2018,53,3,5,14,14,17
2019,51,5,5,9,13,19
2020,107,8,12,25,26,36
2021,146,8,12,28,42,56
2022,124,11,16,22,37,38
2023,239,25,32,49,61,72
2024,150,10,16,26,44,54
2025,132,10,12,30,38,42
2026,297,26,30,52,79,110
2027,147,16,19,29,33,50
2028,60,4,6,11,18,21
