asset_name,network_element,network_element_str,network,latitude,longitude,augmentation_invest,replacement_invest,connections_invest,opex,other_invest,total_invest,deferrable_invest,invest_year,invest_year_str,commitment_year,email,phone,info_link,apr_link,data_currency,next_update,investment_description,demand_growth,constraint_season,annual_deferral_pool,wacc_rate,depr_rate
HAZELWOOD - YALLOURN 220 KV,TL,Transmission Line,AEMO,-38.273,146.392,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,"Construct a new single or double circuit line with one or two circuits strung, or rebuild existing double circuit line at a higher rating. Installation of BESS on the 220 kV network east of this constraint. Project timing is indicative only - this will be updated as more information becomes available.",,,,0.06,0.033
HAZELWOOD - LOY YANG 500 KV,TL,Transmission Line,AEMO,-38.256,146.573,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Construct a new single or double circuit Hazelwood-Loy Yang 500kV line with one or two circuits strung. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
DEDERANG - MOUNT BEAUTY 220 KV,TL,Transmission Line,AEMO,-36.743,147.165,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Install a wind monitoring scheme and up-rate the conductor temperature of both 220 kV circuits between Dederang and Mount Beauty to 82§C. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
RED CLIFFS - WEMEN 220 KV,TL,Transmission Line,AEMO,-34.275,142.2,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Install an automatic load shedding control scheme to enable the use of five minute line rating. Replace the existing Bendigo - Kerang - Wemen - Red Cliffs 220 kV line with a new double circuit 220 kV line and provide associated terminal station aumentation. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
WEMEN - KERANG 220 KV,TL,Transmission Line,AEMO,-34.791,142.522,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,See Red Cliffs - Wemen 220 kV investment. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
KERANG - BENDIGO 220 KV,TL,Transmission Line,AEMO,-35.782,143.945,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,See Red Cliffs - Wemen 220 kV investment. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
RINGWOOD - THOMASTOWN 220 KV,TL,Transmission Line,AEMO,-37.821,145.216,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,"Cut in Rowville - Ringwood - Thomastown 220 kV at Templestowe and Rowville - Templestowe - Thomastown 220 kV at Ringwood to form the Rowville - Ringwood - Templestowe - Thomastown No. 1 and No. 2 circuits plus any fault level mitigation work. New (third) 500/220 kV transformer at Rowville, plus any fault level mitigation works.",,,,0.06,0.033
TEMPLESTOWE - THOMASTOWN 220 KV,TL,Transmission Line,AEMO,-37.749,145.171,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,See Ringwood - Thomastown 220 kV investment. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
ROWVILLE - MALVERN 220 KV ,TL,Transmission Line,AEMO,-37.878,145.084,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Cut-in Rowville - Richmond 220 kV No.1 and No.4 circuits at Malvern Terminal Station to form the Rowville - Malvern - Richmond No.3 and No.4 circuits. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
ROWVILLE - SPRINGVALE 220 KV,TL,Transmission Line,AEMO,-37.928,145.146,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Connect a third Rowville - Springvale circuit (underground cable). Connect a Cranbourne - Heatherton 220 kV double circuit overhead line. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
SPRINGVALE - HEATHERTON 220 KV,TL,Transmission Line,AEMO,-37.928,145.146,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Market benefit project. See Rowville - Springvale 220 kV investment. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
SOUTH MORANG - THOMASTOWN 220 KV,TL,Transmission Line,AEMO,-37.693,145.01,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,"Increase the transfer capability by installing wind monitoring facilities on the South Morang to Thomastown line. Install an automatic load shedding control scheme to enable the use of five-minute line rating. Install a third 500/220 kV transformer at Rowville, plus any fault level mitigation works. Project timing is indicative only - this will be updated as more information becomes available.",,,,0.06,0.033
MOORABOOL - GEELONG 220 KV,TL,Transmission Line,AEMO,-38.083,144.339,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Connect a new double circuit Moorabool ? Geelong 220kV line with a rating of approximately 800 MVA per circuit at 35§C. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
GEELONG - KEILOR 220 KV,TL,Transmission Line,AEMO,-38.083,144.339,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,"Replace the existing Geelong-Keilor 220 kV double circuit line (circuits 1 and 3) with a new double circuit line, each circuit rated at 800 MVA at 35§C. Project timing is indicative only - this will be updated as more information becomes available.",,,,0.06,0.033
KEILOR - DEER PARK 220 KV,TL,Transmission Line,AEMO,-37.738,144.846,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,"Install a load shedding control scheme. Replace the existing Geelong - Keilor No. 1 and No. 3 220 kV lines with a new double circuit line rated at 800 MVA at 35§C. Parallel the existing three Geelong - Deer Park - Keilor 220 kV circuits to form a Geelong - Deer Park and Deer Park - Keilor circuit, each rated 810 MVA at 35§ C. Project timing is indicative only - this will be updated as more information becomes available.",,,,0.06,0.033
DEER PARK - GEELONG 220 KV,TL,Transmission Line,AEMO,-37.778,144.735,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,See Keilor - Deer Park  220 kV investment.,,,,0.06,0.033
SOUTH MORANG TERMINAL STATION 330/220 KV,TCP,Transmission Connection Point,AEMO,-37.644,145.078,44,,,,,44,0,2028,2028,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Replace the existing transformer with a higher rated unit in conjunction with AusNet Service's asset replacement program. Project timing is indicative only - this will be updated as more information becomes available.,,,0,0.06,0.033
CRANBOURNE TERMINAL STATION 500/220 KV,TCP,Transmission Connection Point,AEMO,-38.085,145.265,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Install additional transformation capacity. Project timing is indicative only - this will be updated as more information becomes available. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
ROWVILLE TERMINAL STATION 500/220 KV,TCP,Transmission Connection Point,AEMO,-37.928,145.226,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Install additional transformation capacity at Cranbourne terminal station. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
WEMEN TERMINAL STATION 220KV,TCP,Transmission Connection Point,AEMO,-34.791,142.522,TBC,,,,,TBC,TBC,2033,2033,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Install additional transformation capacity at Wemen terminal station. Project timing is indicative only - this will be updated as more information becomes available.,,,,0.06,0.033
KEILOR TERMINAL STATION 500/220 KV,TCP,Transmission Connection Point,AEMO,-37.737715,144.846913,71,,,,,71,0,2027,2027,,supporthub@aemo.com.au,1300 236 600,https://www.aemo.com.au/aemo/apps/visualisations/map.html,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/vapr/2022/2022-victorian-annual-planning-report.pdf?la=en,Dec 2022 TAPR,Q2 2024,Replace the existing transformer with a higher rated unit in conjunction with AusNet Service's asset replacement program. Project timing is indicative only - this will be updated as more information becomes available.,,,0,0.06,0.033
BOTANY,ZS,Zone Substation,Ausgrid,-33.94760386,151.2045302,,8.6,,40000,,8.6,8.6,2027,2027,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replacement of remaining compound 11kV switchgear.,,Winter,0.51,0.0344,0.025
MASCOT,ZS,Zone Substation,Ausgrid,-33.92111412,151.1910337,,9.6,,48000,,9.6,9.6,2024,2024,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Staged replacement of 11kV switchgear at Mascot 33/11kV zone.,,Summer,0.57,0.0344,0.025
MILPERRA,ZS,Zone Substation,Ausgrid,-33.93814413,150.9990541,,13.5,,70000,,13.5,13.5,2025,2025,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replace 11kV compound switchgear at Milperra zone substation.,,Summer,0.8,0.0344,0.025
TARRO,ZS,Zone Substation,Ausgrid,-32.81004122,151.6692477,,10.9,,50000,,10.9,10.9,2024,2024,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replace 11kV switchgear at Tarro 33/11kV zone substation.,,Summer,0.65,0.0344,0.025
MACQUARIE,TS,Transmission Station,Ausgrid,-33.787249,151.13233,7.8,,,0,,7.8,7.8,2025,2025,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Install 3rd 132/33kV transformer.,,Winter,0.46,0.0344,0.025
