station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count,wgs84_latitude,wgs84_longitude
1003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2018,ALL DAYS,46815,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2018,ALL DAYS,41218,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2018,ALL DAYS,88033,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2018,AM PEAK,12715,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2018,AM PEAK,12656,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2018,AM PEAK,25371,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2018,OFF PEAK,23094,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2018,OFF PEAK,19681,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2018,OFF PEAK,42775,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2018,PM PEAK,13424,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2018,PM PEAK,10167,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2018,PM PEAK,23591,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2018,PUBLIC HOLIDAYS,34527,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2018,PUBLIC HOLIDAYS,32261,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2018,PUBLIC HOLIDAYS,66788,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2018,WEEKDAYS,49233,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2018,WEEKDAYS,42504,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2018,WEEKDAYS,91737,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2018,WEEKENDS,41715,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2018,WEEKENDS,39420,-33.860836,151.213791
1003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2018,WEEKENDS,81135,-33.860836,151.213791
1004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2018,ALL DAYS,40447,-33.86618,151.203201
1004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2018,AM PEAK,10169,-33.86618,151.203201
1004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2018,OFF PEAK,20107,-33.86618,151.203201
1004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2018,PM PEAK,11859,-33.86618,151.203201
1004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2018,PUBLIC HOLIDAYS,27082,-33.86618,151.203201
1004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2018,WEEKDAYS,42135,-33.86618,151.203201
1004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2018,WEEKENDS,36090,-33.86618,151.203201
1011,Cahill Expressway,Sydney,SOUTH,UNCLASSIFIED,2018,ALL DAYS,20802,-33.86129,151.209854
1011,Cahill Expressway,Sydney,SOUTH,UNCLASSIFIED,2018,AM PEAK,6261,-33.86129,151.209854
1011,Cahill Expressway,Sydney,SOUTH,UNCLASSIFIED,2018,OFF PEAK,9847,-33.86129,151.209854
1011,Cahill Expressway,Sydney,SOUTH,UNCLASSIFIED,2018,PM PEAK,6128,-33.86129,151.209854
1011,Cahill Expressway,Sydney,SOUTH,UNCLASSIFIED,2018,PUBLIC HOLIDAYS,11269,-33.86129,151.209854
1011,Cahill Expressway,Sydney,SOUTH,UNCLASSIFIED,2018,WEEKDAYS,22236,-33.86129,151.209854
1011,Cahill Expressway,Sydney,SOUTH,UNCLASSIFIED,2018,WEEKENDS,16986,-33.86129,151.209854
2015,City Road,Camperdown,NORTH,UNCLASSIFIED,2018,ALL DAYS,21019,-33.888699,151.191421
2015,City Road,Camperdown,SOUTH,UNCLASSIFIED,2018,ALL DAYS,17329,-33.888699,151.191421
2015,City Road,Camperdown,BOTH,UNCLASSIFIED,2018,ALL DAYS,38348,-33.888699,151.191421
2015,City Road,Camperdown,NORTH,UNCLASSIFIED,2018,AM PEAK,6288,-33.888699,151.191421
2015,City Road,Camperdown,SOUTH,UNCLASSIFIED,2018,AM PEAK,3043,-33.888699,151.191421
2015,City Road,Camperdown,BOTH,UNCLASSIFIED,2018,AM PEAK,9331,-33.888699,151.191421
2015,City Road,Camperdown,NORTH,UNCLASSIFIED,2018,OFF PEAK,10673,-33.888699,151.191421
2015,City Road,Camperdown,SOUTH,UNCLASSIFIED,2018,OFF PEAK,9466,-33.888699,151.191421
